collection.id,sample.ID,old.sample.ID,photo.ID.no,skeletal.sample,pub.author,pub.year,collection.period.from,collection.period.to,collection.date,extract.date,extract.method,collected.by,host.group,host.order,host.family,host.genus,host.species,host.ID.date,host.ID.by,host.ID.method,host.ID.changed.from.publication,host.ID.changed.from,host.morphotype,corallite size (mm),colony.sex,ocean,country,region,subregion,area,location,site,shelf.position,latitude,longitude,reef.type,avg.depth,depth.min,depth.max,sym.genus.1,sym.genus.2,sym.genus.3,sym.type.1,sym.type.2,sym.type.3,sym.type.ID.year,sym.type.author,sym.type.changed.from,comment.field.coral.ID,comment.symbiont.profile,comment.sample.processing,,
AU18,AU18_0017,,Split17,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp1,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,green-brown,,,,
AU18,AU18_0018,,Split18,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Mussidae,Acanthastrea,Acanthastrea_echinata,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,bluey-green happy valley,,,,
AU18,AU18_0019,,Split19,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Mussidae,Acanthastrea,Acanthastrea_echinata,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,bluey-green happy valley,,,,
AU18,AU18_0020,,Split20,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Mussidae,Acanthastrea,Acanthastrea_echinata,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,bluey-green happy valley,,,,
AU18,AU18_0021,,Split21,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Faviidae,Astrea,Astrea_curta,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0022,,Split22,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Faviidae,Astrea,Astrea_curta,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0023,,Split23,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Faviidae,Astrea,Astrea_curta,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0024,,Split24,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp2,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,like Goniastrea favulus,,,,
AU18,AU18_0025,,Split25,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp2,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,like Goniastrea favulus,,,,
AU18,AU18_0026,,Split26,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Faviidae,Astrea,Astrea_curta,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0027,,Split27,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp2,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,like Goniastrea favulus,,,,
AU18,AU18_0028,,Split28,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Faviidae,Astrea,Astrea_curta,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,grey,,,,
AU18,AU18_0029,,Split29,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp2,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,like Goniastrea favulus,,,,
AU18,AU18_0030,,Split30,,Sampayo,unpublished,2018,2018,10/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Massive,sp2,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Pomfrey_Point,,-30.2384,153.17961,,12,,,,,,,,,,,,like Goniastrea favulus,,,,
